jenis_kelamin,berat_kg,tinggi_cm,lingkar_perut_cm,frekuensi_makan,sarapan,konsumsi_sayur_buah,konsumsi_daging,konsumsi_susu,fast_food,minuman_bersoda,nafsu_makan_rumah,nafsu_makan_sekolah,air_minum,lama_tidur,olahraga,aktivitas_fisik,BMI,status_gizi
1,50.2,170.0,65.0,3,1,1,1,2,1,1,0,0,1,1,1,1,17.370242214532876,Kurus
0,55.0,154.0,78.0,2,1,1,1,1,1,1,0,1,1,1,2,2,23.19109461966605,Normal
0,46.0,159.0,67.0,2,1,2,1,2,2,1,0,0,1,1,1,0,18.19548277362446,Kurus
0,36.9,157.7,61.0,3,1,2,1,2,2,1,0,0,0,1,0,1,14.83757678647038,Kurus
0,64.0,158.0,77.0,2,1,2,2,2,1,1,0,0,2,1,1,2,25.63691716071142,Gemuk
1,46.1,164.4,60.0,3,1,1,1,1,1,1,0,0,1,1,0,0,17.05678986034892,Kurus
0,40.0,152.0,66.0,3,1,1,1,1,1,1,0,0,1,1,1,0,17.31301939058172,Kurus
0,75.0,160.0,88.0,2,1,1,1,0,1,1,0,0,1,0,1,1,29.296874999999993,Gemuk
0,67.0,160.0,76.0,1,0,2,2,2,1,1,0,0,2,1,1,2,26.171874999999996,Gemuk
0,42.0,159.0,59.0,3,1,1,1,1,0,1,0,0,1,1,0,0,16.61326688026581,Kurus
0,56.4,158.3,70.0,3,1,1,2,1,2,1,0,1,2,1,0,2,22.506982551900737,Normal
0,55.5,153.7,73.0,2,0,1,1,1,2,2,1,1,0,0,1,2,23.49336619300372,Normal
0,46.3,167.0,68.0,2,1,1,1,1,2,2,1,1,0,0,0,1,16.601527483954246,Kurus
0,61.3,150.0,81.0,2,1,1,1,1,1,0,0,0,1,1,1,1,27.244444444444444,Gemuk
0,35.4,151.8,60.0,3,0,1,1,1,1,0,0,0,1,1,0,0,15.362422992599997,Kurus
1,65.0,164.0,78.0,3,1,2,1,1,2,0,0,0,1,0,1,1,24.167162403331353,Normal
1,54.0,165.8,67.0,3,1,1,1,2,1,0,0,1,1,1,1,1,19.64376397799316,Normal
0,53.6,165.0,72.0,3,1,2,1,2,1,1,0,0,1,1,1,1,19.687786960514234,Normal
1,68.5,173.0,69.0,2,1,1,1,0,0,0,0,0,2,1,0,1,22.887500417655115,Normal
0,40.0,154.0,60.0,2,1,1,1,1,1,2,0,0,0,1,0,0,16.866250632484398,Kurus
1,45.3,163.0,63.0,3,1,1,1,1,2,0,0,0,1,1,0,1,17.0499454251195,Kurus
1,47.55,157.6,68.0,2,1,1,1,1,2,1,0,0,1,0,0,1,19.144238449844114,Normal
0,47.7,158.0,67.0,2,1,1,2,1,1,1,1,1,0,1,0,0,19.107514821342733,Normal
1,103.0,170.0,101.0,2,1,1,2,1,1,1,0,0,1,1,0,0,35.6401384083045,Obesitas
1,52.4,169.0,60.0,3,1,1,1,1,1,1,0,1,2,1,1,1,18.34669654423865,Kurus
0,44.0,161.0,63.0,3,1,1,1,1,1,1,0,1,0,1,0,2,16.97465375564214,Kurus
1,47.8,166.7,66.0,3,1,1,2,1,1,1,0,0,1,1,1,1,17.201118864409484,Kurus
1,50.05,170.4,65.0,3,1,2,2,1,1,1,0,1,1,0,1,2,17.237127774471556,Kurus
1,55.6,175.6,60.0,3,1,1,1,1,1,2,0,0,1,0,2,2,18.03124724342443,Kurus
1,59.8,168.0,84.0,4,1,1,1,1,1,1,0,0,2,1,2,2,21.187641723356013,Normal
0,46.1,160.0,70.0,2,1,1,2,1,1,1,0,0,1,0,0,1,18.007812499999996,Kurus
0,58.1,155.5,89.0,3,1,2,2,1,1,1,0,1,1,1,0,1,24.02787398806878,Normal
0,49.0,152.0,63.0,3,1,1,2,2,1,1,0,1,1,1,1,1,21.208448753462605,Normal
1,63.8,174.6,79.0,3,1,1,1,1,1,1,0,0,1,1,1,2,20.928215564556655,Normal
0,58.0,158.8,68.0,2,1,1,2,2,2,1,0,0,1,1,1,1,22.999955586292657,Normal
0,50.15,157.0,68.0,2,1,0,2,1,1,1,0,1,0,0,1,2,20.34565296766603,Normal
1,55.3,168.0,76.0,3,1,1,1,1,1,1,0,0,1,1,1,1,19.593253968253972,Normal
0,44.0,142.0,70.0,3,1,1,2,2,2,1,0,0,1,1,1,1,21.821067248561793,Normal
0,54.6,155.0,72.0,1,0,1,1,1,1,0,0,1,1,1,2,2,22.726326742976063,Normal
0,54.0,155.0,86.0,3,1,2,1,1,1,1,0,1,1,1,1,0,22.476586888657646,Normal
1,71.9,179.5,87.7,2,0,1,1,2,2,1,0,0,1,1,1,2,22.315158945073364,Normal
0,48.0,157.0,67.0,3,1,1,1,2,2,1,0,0,0,1,1,1,19.473406629072173,Normal
1,69.95,172.0,77.0,4,1,2,1,2,2,1,0,0,1,1,2,2,23.644537587885345,Normal
0,53.0,157.0,64.0,1,0,1,1,1,1,1,0,0,1,1,0,1,21.50188648626719,Normal
1,43.0,161.0,62.0,2,1,1,1,2,1,1,0,0,1,1,1,1,16.58886617028664,Kurus
0,64.2,155.3,97.2,1,1,2,2,1,1,1,0,1,1,0,0,0,26.619023314035232,Gemuk
0,42.0,155.0,71.0,3,1,1,1,2,1,1,0,1,1,1,1,1,17.48178980228928,Kurus
0,43.0,150.0,63.0,2,1,1,1,1,1,1,0,1,1,1,1,0,19.11111111111111,Normal
0,55.2,154.3,70.0,2,1,1,1,1,1,1,0,0,2,1,0,1,23.185006692990605,Normal
0,54.6,156.0,82.0,4,1,1,1,2,1,1,0,0,1,1,1,1,22.435897435897434,Normal
0,56.4,145.0,92.5,3,1,1,1,2,1,1,0,0,1,1,1,1,26.825208085612363,Gemuk
0,52.1,156.0,74.0,2,1,1,1,1,1,1,0,0,0,0,1,0,21.4086127547666,Normal
0,39.5,159.0,63.0,3,1,2,1,1,1,1,0,0,1,0,0,1,15.624381946916655,Kurus
0,44.4,148.0,70.0,3,1,1,1,1,1,1,0,0,1,1,1,1,20.27027027027027,Normal
1,68.4,170.7,81.0,4,1,1,2,1,1,1,1,0,1,0,2,2,23.474105899104593,Normal
1,67.15,161.0,73.0,4,1,1,2,2,1,1,0,1,2,1,2,2,25.905636356622043,Gemuk
0,49.0,167.0,65.0,2,1,1,1,1,2,1,0,0,0,0,1,1,17.569651116927822,Kurus
0,47.0,155.0,66.0,3,1,2,1,2,1,1,0,0,0,1,1,2,19.562955254942764,Normal
1,55.7,160.0,75.0,2,1,2,2,2,1,1,0,0,1,1,2,1,21.757812499999996,Normal
1,45.4,168.5,56.0,3,1,1,1,1,1,1,0,0,0,1,1,1,15.990279037413377,Kurus
1,81.9,167.7,98.0,3,1,1,2,1,1,1,0,0,2,1,2,1,29.121770603652713,Gemuk
1,41.5,165.6,64.0,3,1,1,1,1,1,1,0,0,0,1,0,0,15.133083619220987,Kurus
0,49.1,155.5,69.0,3,1,1,1,1,1,1,0,0,2,1,1,2,20.305828103514234,Normal
1,62.0,160.0,75.0,3,0,1,1,2,1,2,0,0,2,1,2,2,24.218749999999996,Normal
0,70.4,163.0,83.0,3,1,1,1,1,1,1,0,0,1,0,1,1,26.49704542888329,Gemuk
1,51.9,169.3,71.0,4,1,1,2,1,1,1,1,1,1,1,2,2,18.107289352739414,Kurus
0,37.5,150.1,58.0,2,1,1,1,1,1,2,0,0,0,1,0,0,16.64446664693003,Kurus
1,71.5,177.0,79.5,3,1,1,1,1,1,1,0,0,1,1,0,0,22.822305212422993,Normal
1,44.1,154.8,58.0,3,1,2,1,2,2,2,0,1,0,1,0,1,18.40334114536386,Kurus
0,51.5,151.0,73.0,2,1,2,1,1,1,1,0,1,1,1,1,0,22.586728652252095,Normal
1,45.8,164.0,66.0,4,1,1,1,2,1,1,0,1,0,0,2,2,17.028554431885784,Kurus
0,60.3,147.0,73.0,2,1,2,2,1,1,0,0,0,0,1,1,1,27.905039566847147,Gemuk
1,55.9,160.0,70.0,3,1,1,1,1,1,1,0,1,1,1,2,2,21.835937499999996,Normal
0,55.1,154.8,76.0,3,1,1,1,2,1,1,0,0,1,1,1,1,22.99374369862922,Normal
0,45.3,151.7,66.5,2,1,2,1,1,2,1,1,1,1,1,0,1,19.6846202280548,Normal
0,44.3,157.0,62.0,2,1,1,2,1,1,1,0,0,0,1,1,0,17.97233153474786,Kurus
1,46.0,162.0,67.0,3,1,1,1,1,1,0,0,1,0,1,1,2,17.527815881725342,Kurus
0,46.4,141.0,73.0,2,1,2,1,1,1,1,0,0,1,1,0,0,23.33886625421257,Normal
0,43.8,150.4,68.0,3,1,2,1,1,2,1,0,0,0,1,1,2,19.363258261656856,Normal
1,43.4,168.0,64.0,3,1,1,1,2,1,1,0,1,1,1,1,2,15.376984126984128,Kurus
0,57.0,152.0,76.0,2,1,1,1,1,1,1,0,1,1,1,1,0,24.67105263157895,Normal
0,47.2,153.0,67.0,3,1,2,1,1,1,0,0,0,1,1,1,1,20.163185099747963,Normal
1,95.0,163.2,104.0,1,1,1,1,1,0,0,0,1,1,1,1,1,35.66837274125337,Obesitas
0,49.0,159.0,83.0,2,1,1,1,1,1,2,0,0,2,1,1,1,19.382144693643447,Normal
0,51.0,155.0,75.0,3,1,1,1,1,2,1,0,0,1,1,0,0,21.227887617065555,Normal
0,45.0,152.0,65.0,3,1,2,2,2,1,0,0,0,1,1,1,2,19.47714681440443,Normal
0,71.6,161.7,95.5,2,1,1,2,2,1,1,0,0,1,1,1,0,27.38375386135789,Gemuk
0,50.0,154.0,65.0,2,1,1,1,1,1,1,0,0,1,1,0,1,21.0828132906055,Normal
0,54.0,159.7,63.0,3,1,1,1,1,2,1,0,0,1,0,0,2,21.173074593133887,Normal
1,61.3,169.0,81.0,3,1,1,2,1,1,1,0,0,1,1,1,1,21.46283393438605,Normal
0,46.6,157.0,64.0,4,1,1,2,2,1,1,0,0,2,0,2,2,18.905432269057567,Normal
0,46.0,163.0,70.8,2,1,1,1,1,2,0,0,1,2,0,0,1,17.31341036546351,Kurus
1,44.9,169.7,67.0,2,0,1,1,2,1,0,0,0,1,1,2,2,15.591311784913517,Kurus
1,57.0,170.0,75.0,3,1,1,1,1,1,2,0,1,1,1,1,2,19.723183391003463,Normal
0,54.0,154.0,70.0,2,0,2,1,1,1,0,0,1,0,1,0,1,22.76943835385394,Normal
1,55.4,169.0,76.0,3,1,1,1,2,1,1,0,0,1,1,1,2,19.397079934175977,Normal
0,42.6,148.5,58.0,3,1,1,1,1,2,1,0,1,1,0,1,2,19.31775669149406,Normal
1,56.7,161.5,71.0,3,1,1,1,1,1,0,0,1,1,1,1,1,21.73892206385569,Normal
0,46.0,153.0,63.0,3,1,2,2,2,2,0,0,0,0,1,0,0,19.650561749754367,Normal
0,39.9,154.0,69.0,2,1,1,2,1,2,1,0,0,2,1,1,1,16.82408500590319,Kurus
0,48.8,151.0,67.0,2,1,1,2,2,1,0,0,1,1,1,1,1,21.402570062716546,Normal
1,49.7,165.0,69.0,2,1,2,2,1,1,2,0,1,0,0,1,0,18.255280073461893,Kurus
0,44.4,156.6,65.0,3,1,2,1,2,1,0,0,0,1,1,0,1,18.1050385833052,Kurus
1,53.2,181.0,67.0,3,1,1,1,1,1,1,0,0,1,1,0,0,16.2388205488233,Kurus
0,46.8,159.0,70.0,3,1,1,1,2,1,1,0,0,1,1,0,1,18.51192595229619,Normal
1,53.83,167.8,68.0,3,1,1,1,1,1,1,0,0,1,1,0,1,19.117912379372115,Normal
1,65.9,179.0,73.0,3,1,1,1,2,1,1,0,1,1,1,1,2,20.567398021285232,Normal
1,54.3,170.5,73.0,4,1,1,1,1,1,1,0,0,2,0,1,1,18.67888993042715,Normal
